id,question,category,difficulty,expected_answer,model_output,extracted_answer,answer_parsed,answer_correct,latency_ms,error
a01,What is 17 + 29?,arithmetic,easy,46,Answer: 46,46.0,True,True,12298.0,
a02,What is 148 - 63?,arithmetic,easy,85,Answer: 85,85.0,True,True,6229.0,
a03,What is 12 * 15?,arithmetic,easy,180,Answer: 180,180.0,True,True,9412.3,
a04,What is 156 / 4?,arithmetic,easy,39,Answer: 39,39.0,True,True,8612.9,
a05,What is 25 + 33 - 17?,arithmetic,easy,41,Answer: 42,42.0,True,False,5672.2,
a06,What is 7 * 8 + 4?,arithmetic,easy,60,Answer: 60,60.0,True,True,4850.7,
a07,What is 3^4?,arithmetic,easy,81,Answer: 81,81.0,True,True,7529.1,
a08,What is 1024 - 256?,arithmetic,easy,768,Answer: 42,42.0,True,False,7064.7,
w01,A train travels at 60 miles per hour for 2.5 hours. How far does it travel in miles?,word_problem,medium,150,Answer: 150,150.0,True,True,6566.7,
w02,"If one dozen eggs costs $3, how much do 4 dozen eggs cost in dollars?",word_problem,easy,12,Answer: 12,12.0,True,True,10570.2,
w03,A rectangle is 12 meters long and 8 meters wide. What is its perimeter in meters?,word_problem,medium,40,Answer: 42,42.0,True,False,7110.2,
w04,"A pizza is cut into 8 slices. If 5 slices are eaten, how many slices are left?",word_problem,easy,3,Answer: 3,3.0,True,True,5488.6,
w05,John has 15 apples. He gives 4 to Mary and eats 3. How many apples does he have left?,word_problem,medium,8,Answer: 8,8.0,True,True,5497.4,
w06,A car uses 6 liters of fuel per 100 km. How many liters does it use to drive 250 km?,word_problem,hard,15,Answer: 15,15.0,True,True,10037.5,
w07,A store sells a shirt for $45 after a 25% discount. What was the original price in dollars?,word_problem,hard,60,Answer: 60,60.0,True,True,9108.8,
w08,You run 3 laps of a 400-meter track. How many meters do you run in total?,word_problem,easy,1200,Answer: 1200,1200.0,True,True,5566.7,
w09,A book has 240 pages. You read 15 pages a day. How many days does it take to finish?,word_problem,medium,16,Answer: 16,16.0,True,True,8160.3,
w10,"A bag has 3 red, 5 blue, and 2 green marbles. How many marbles are in the bag in total?",word_problem,easy,10,Answer: 10,10.0,True,True,5867.6,
w11,The sum of two numbers is 100. One of them is 37. What is the other number?,word_problem,medium,63,Answer: 63,63.0,True,True,6116.9,
w12,A recipe needs 1.5 cups of flour per batch. How many cups are needed for 3 batches?,word_problem,medium,4.5,Answer: 4.5,4.5,True,True,5873.9,
f01,What is 25% of 200?,fraction_percent,easy,50,Answer: 50,50.0,True,True,17081.2,
f02,What is 1/4 of 100?,fraction_percent,easy,25,Answer: 25,25.0,True,True,12627.1,
f03,What is 50% of 78?,fraction_percent,easy,39,Answer: 39,39.0,True,True,5227.1,
f04,What is 2/3 of 60?,fraction_percent,medium,40,Answer: 42,42.0,True,False,6782.8,
f05,What is 3/4 + 1/4?,fraction_percent,easy,1,Answer: 1,1.0,True,True,5210.5,
f06,What is 10% of 350?,fraction_percent,easy,35,Answer: 35,35.0,True,True,6262.5,
f07,A shirt costs $80. It goes on sale for 30% off. How much is the discount in dollars?,fraction_percent,medium,24,Answer: 24,24.0,True,True,6626.0,
f08,What is 15% of 200?,fraction_percent,easy,30,Answer: 30,30.0,True,True,6402.3,
f09,"If 40% of a number is 20, what is the number?",fraction_percent,hard,50,Answer: 50,50.0,True,True,7619.8,
al01,"If x + 7 = 15, what is x?",algebra,medium,8,Answer: 8,8.0,True,True,6296.2,
al02,"If 3x = 24, what is x?",algebra,easy,8,Answer: 8,8.0,True,True,7291.8,
al03,"If 2x - 5 = 9, what is x?",algebra,medium,7,Answer: 7,7.0,True,True,8338.2,
al04,"If x / 4 = 6, what is x?",algebra,easy,24,Answer: 24,24.0,True,True,6889.8,
al05,"If x + 2x = 18, what is x?",algebra,medium,6,Answer: 6,6.0,True,True,6779.1,
al06,"If 5x + 3 = 28, what is x?",algebra,medium,5,Answer: 5,5.0,True,True,6116.7,
al07,"If 2(x + 3) = 14, what is x?",algebra,hard,4,Answer: 42,42.0,True,False,8672.7,
al08,"If x^2 = 81, what is the positive value of x?",algebra,medium,9,Answer: 9,9.0,True,True,7702.5,
