model_id,id,expected_tool,category,difficulty,trials_correct,failure_mode
qwen3-0.6b,n001,get_weather,should_call,easy,8,always_right
qwen3-0.6b,n002,get_weather,should_call,easy,7,inconsistent
qwen3-0.6b,n003,get_weather,should_call,easy,8,always_right
qwen3-0.6b,n004,get_weather,should_call,easy,8,always_right
qwen3-0.6b,n005,get_weather,should_call,easy,8,always_right
qwen3-0.6b,n006,get_weather,should_call,easy,8,always_right
qwen3-0.6b,n007,get_weather,should_call,easy,8,always_right
qwen3-0.6b,n008,get_weather,should_call,easy,8,always_right
qwen3-0.6b,n009,get_weather,should_call,easy,8,always_right
qwen3-0.6b,n010,get_weather,should_call,easy,8,always_right
qwen3-0.6b,n011,get_weather,should_call,easy,8,always_right
qwen3-0.6b,n012,get_weather,should_call,medium,8,always_right
qwen3-0.6b,n013,get_weather,should_call,medium,8,always_right
qwen3-0.6b,n014,get_weather,should_call,medium,8,always_right
qwen3-0.6b,n015,get_weather,should_call,medium,5,inconsistent
qwen3-0.6b,n016,get_weather,should_call,medium,8,always_right
qwen3-0.6b,n017,get_weather,should_call,medium,8,always_right
qwen3-0.6b,n018,get_weather,should_call,medium,8,always_right
qwen3-0.6b,n019,get_weather,should_call,hard,8,always_right
qwen3-0.6b,n020,get_weather,should_call,hard,2,inconsistent
qwen3-0.6b,n021,search_contacts,should_call,easy,8,always_right
qwen3-0.6b,n022,search_contacts,should_call,easy,8,always_right
qwen3-0.6b,n023,search_contacts,should_call,easy,8,always_right
qwen3-0.6b,n024,search_contacts,should_call,easy,8,always_right
qwen3-0.6b,n025,search_contacts,should_call,easy,8,always_right
qwen3-0.6b,n026,search_contacts,should_call,easy,8,always_right
qwen3-0.6b,n027,search_contacts,should_call,easy,7,inconsistent
qwen3-0.6b,n028,search_contacts,should_call,easy,8,always_right
qwen3-0.6b,n029,search_contacts,should_call,easy,8,always_right
qwen3-0.6b,n030,search_contacts,should_call,easy,8,always_right
qwen3-0.6b,n031,search_contacts,should_call,easy,8,always_right
qwen3-0.6b,n032,search_contacts,should_call,medium,8,always_right
qwen3-0.6b,n033,search_contacts,should_call,medium,8,always_right
qwen3-0.6b,n034,search_contacts,should_call,medium,8,always_right
qwen3-0.6b,n035,search_contacts,should_call,medium,8,always_right
qwen3-0.6b,n036,search_contacts,should_call,medium,8,always_right
qwen3-0.6b,n037,search_contacts,should_call,medium,8,always_right
qwen3-0.6b,n038,search_contacts,should_call,medium,8,always_right
qwen3-0.6b,n039,search_contacts,should_call,hard,8,always_right
qwen3-0.6b,n040,search_contacts,should_call,hard,8,always_right
qwen3-0.6b,n041,set_timer,multi_arg,easy,8,always_right
qwen3-0.6b,n042,set_timer,multi_arg,easy,8,always_right
qwen3-0.6b,n043,set_timer,multi_arg,easy,8,always_right
qwen3-0.6b,n044,set_timer,multi_arg,easy,8,always_right
qwen3-0.6b,n045,set_timer,multi_arg,easy,8,always_right
qwen3-0.6b,n046,set_timer,multi_arg,medium,8,always_right
qwen3-0.6b,n047,set_timer,multi_arg,medium,8,always_right
qwen3-0.6b,n048,set_timer,multi_arg,medium,8,always_right
qwen3-0.6b,n049,set_timer,multi_arg,medium,8,always_right
qwen3-0.6b,n050,set_timer,multi_arg,medium,8,always_right
qwen3-0.6b,n051,set_timer,multi_arg,medium,8,always_right
qwen3-0.6b,n052,set_timer,multi_arg,medium,8,always_right
qwen3-0.6b,n053,set_timer,multi_arg,medium,8,always_right
qwen3-0.6b,n054,set_timer,multi_arg,medium,8,always_right
qwen3-0.6b,n055,set_timer,multi_arg,medium,8,always_right
qwen3-0.6b,n056,set_timer,multi_arg,hard,8,always_right
qwen3-0.6b,n057,set_timer,multi_arg,hard,8,always_right
qwen3-0.6b,n058,set_timer,multi_arg,hard,8,always_right
qwen3-0.6b,n059,set_timer,multi_arg,hard,8,always_right
qwen3-0.6b,n060,set_timer,multi_arg,hard,8,always_right
qwen3-0.6b,n061,send_message,multi_arg,easy,8,always_right
qwen3-0.6b,n062,send_message,multi_arg,easy,8,always_right
qwen3-0.6b,n063,send_message,multi_arg,easy,6,inconsistent
qwen3-0.6b,n064,send_message,multi_arg,easy,8,always_right
qwen3-0.6b,n065,send_message,multi_arg,easy,8,always_right
qwen3-0.6b,n066,send_message,multi_arg,medium,7,inconsistent
qwen3-0.6b,n067,send_message,multi_arg,medium,8,always_right
qwen3-0.6b,n068,send_message,multi_arg,medium,1,inconsistent
qwen3-0.6b,n069,send_message,multi_arg,medium,8,always_right
qwen3-0.6b,n070,send_message,multi_arg,medium,8,always_right
qwen3-0.6b,n071,send_message,multi_arg,medium,8,always_right
qwen3-0.6b,n072,send_message,multi_arg,medium,0,always_wrong
qwen3-0.6b,n073,send_message,multi_arg,medium,8,always_right
qwen3-0.6b,n074,send_message,multi_arg,medium,2,inconsistent
qwen3-0.6b,n075,send_message,multi_arg,medium,3,inconsistent
qwen3-0.6b,n076,send_message,multi_arg,hard,8,always_right
qwen3-0.6b,n077,send_message,multi_arg,hard,8,always_right
qwen3-0.6b,n078,send_message,multi_arg,hard,8,always_right
qwen3-0.6b,n079,send_message,multi_arg,hard,8,always_right
qwen3-0.6b,n080,send_message,multi_arg,hard,8,always_right
qwen3-0.6b,n081,none,should_not_call,easy,8,always_right
qwen3-0.6b,n082,none,should_not_call,easy,8,always_right
qwen3-0.6b,n083,none,should_not_call,easy,7,inconsistent
qwen3-0.6b,n084,none,should_not_call,easy,8,always_right
qwen3-0.6b,n085,none,should_not_call,easy,7,inconsistent
qwen3-0.6b,n086,none,should_not_call,easy,8,always_right
qwen3-0.6b,n087,none,should_not_call,easy,8,always_right
qwen3-0.6b,n088,none,should_not_call,easy,8,always_right
qwen3-0.6b,n089,none,should_not_call,easy,8,always_right
qwen3-0.6b,n090,none,should_not_call,easy,8,always_right
qwen3-0.6b,n091,none,should_not_call,medium,8,always_right
qwen3-0.6b,n092,none,should_not_call,medium,8,always_right
qwen3-0.6b,n093,none,should_not_call,medium,8,always_right
qwen3-0.6b,n094,none,should_not_call,medium,8,always_right
qwen3-0.6b,n095,none,should_not_call,medium,8,always_right
qwen3-0.6b,n096,none,should_not_call,medium,8,always_right
qwen3-0.6b,n097,none,should_not_call,medium,8,always_right
qwen3-0.6b,n098,none,should_not_call,medium,8,always_right
qwen3-0.6b,n099,none,should_not_call,medium,8,always_right
qwen3-0.6b,n100,none,should_not_call,medium,8,always_right
qwen3-0.6b,n101,none,should_not_call,medium,8,always_right
qwen3-0.6b,n102,none,should_not_call,medium,8,always_right
qwen3-0.6b,n103,none,should_not_call,medium,7,inconsistent
qwen3-0.6b,n104,none,should_not_call,medium,8,always_right
qwen3-0.6b,n105,none,should_not_call,medium,8,always_right
qwen3-0.6b,n106,none,should_not_call,hard,3,inconsistent
qwen3-0.6b,n107,none,should_not_call,hard,8,always_right
qwen3-0.6b,n108,none,should_not_call,hard,8,always_right
qwen3-0.6b,n109,none,should_not_call,hard,8,always_right
qwen3-0.6b,n110,none,should_not_call,hard,0,always_wrong
qwen3-0.6b,n111,none,should_not_call,hard,8,always_right
qwen3-0.6b,n112,none,should_not_call,hard,0,always_wrong
qwen3-0.6b,n113,none,should_not_call,hard,2,inconsistent
qwen3-0.6b,n114,none,should_not_call,hard,8,always_right
qwen3-0.6b,n115,none,should_not_call,hard,7,inconsistent
qwen3-0.6b,n116,set_timer,edge_case,easy,8,always_right
qwen3-0.6b,n117,send_message,edge_case,easy,8,always_right
qwen3-0.6b,n118,search_contacts,edge_case,easy,8,always_right
qwen3-0.6b,n119,search_contacts,edge_case,medium,8,always_right
qwen3-0.6b,n120,set_timer,edge_case,medium,8,always_right
qwen3-0.6b,n121,send_message,edge_case,medium,8,always_right
qwen3-0.6b,n122,get_weather,edge_case,medium,8,always_right
qwen3-0.6b,n123,search_contacts,edge_case,medium,8,always_right
qwen3-0.6b,n124,set_timer,edge_case,medium,8,always_right
qwen3-0.6b,n125,get_weather,edge_case,hard,8,always_right
qwen3-0.6b,n126,get_weather,edge_case,hard,8,always_right
qwen3-0.6b,n127,get_weather,edge_case,hard,8,always_right
qwen3-0.6b,n128,search_contacts,edge_case,hard,8,always_right
qwen3-0.6b,n129,set_timer,edge_case,hard,8,always_right
qwen3-0.6b,n130,set_timer,edge_case,hard,8,always_right
qwen3-0.6b,n131,send_message,edge_case,hard,8,always_right
qwen3-0.6b,n132,send_message,edge_case,hard,5,inconsistent
qwen3-0.6b,n133,get_weather,edge_case,hard,8,always_right
qwen3-0.6b,n134,search_contacts,edge_case,hard,8,always_right
qwen3-0.6b,n135,set_timer,edge_case,hard,8,always_right
