id,question,category,difficulty,expected_answer,model_output,extracted_answer,answer_parsed,answer_correct,latency_ms,error
a01,What is 17 + 29?,arithmetic,easy,46,Answer: 46,46.0,True,True,5971.6,
a02,What is 148 - 63?,arithmetic,easy,85,85,85.0,True,True,2724.3,
a03,What is 12 * 15?,arithmetic,easy,180,Answer: 180,180.0,True,True,2814.9,
a04,What is 156 / 4?,arithmetic,easy,39,39,39.0,True,True,2698.7,
a05,What is 25 + 33 - 17?,arithmetic,easy,41,Answer: 41,41.0,True,True,2786.1,
a06,What is 7 * 8 + 4?,arithmetic,easy,60,7 * 8 + 4 = 52,52.0,True,False,2940.8,
a07,What is 3^4?,arithmetic,easy,81,81,81.0,True,True,2664.7,
a08,What is 1024 - 256?,arithmetic,easy,768,768,768.0,True,True,2749.7,
w01,A train travels at 60 miles per hour for 2.5 hours. How far does it travel in miles?,word_problem,medium,150,Answer: 150,150.0,True,True,2935.2,
w02,"If one dozen eggs costs $3, how much do 4 dozen eggs cost in dollars?",word_problem,easy,12,"12 * 3 = 36 dollars

36 / 12 = 3 dollars

3 * 4 = 12 dollars

Answer: 12",12.0,True,True,3707.5,
w03,A rectangle is 12 meters long and 8 meters wide. What is its perimeter in meters?,word_problem,medium,40,Answer: 40,40.0,True,True,2873.3,
w04,"A pizza is cut into 8 slices. If 5 slices are eaten, how many slices are left?",word_problem,easy,3,3,3.0,True,True,2697.2,
w05,John has 15 apples. He gives 4 to Mary and eats 3. How many apples does he have left?,word_problem,medium,8,Answer: 8,8.0,True,True,2879.6,
w06,A car uses 6 liters of fuel per 100 km. How many liters does it use to drive 250 km?,word_problem,hard,15,Answer: 15,15.0,True,True,3009.3,
w07,A store sells a shirt for $45 after a 25% discount. What was the original price in dollars?,word_problem,hard,60,Answer: 60,60.0,True,True,3044.5,
w08,You run 3 laps of a 400-meter track. How many meters do you run in total?,word_problem,easy,1200,Answer: 400,400.0,True,False,2903.1,
w09,A book has 240 pages. You read 15 pages a day. How many days does it take to finish?,word_problem,medium,16,16 days,16.0,True,True,2915.4,
w10,"A bag has 3 red, 5 blue, and 2 green marbles. How many marbles are in the bag in total?",word_problem,easy,10,Answer: 10,10.0,True,True,2936.8,
w11,The sum of two numbers is 100. One of them is 37. What is the other number?,word_problem,medium,63,Answer: 63,63.0,True,True,2888.0,
w12,A recipe needs 1.5 cups of flour per batch. How many cups are needed for 3 batches?,word_problem,medium,4.5,4.5 cups,4.5,True,True,2851.7,
f01,What is 25% of 200?,fraction_percent,easy,50,Answer: 50,50.0,True,True,2793.5,
f02,What is 1/4 of 100?,fraction_percent,easy,25,25.0,25.0,True,True,2735.8,
f03,What is 50% of 78?,fraction_percent,easy,39,Answer: 39,39.0,True,True,2721.9,
f04,What is 2/3 of 60?,fraction_percent,medium,40,40,40.0,True,True,2704.5,
f05,What is 3/4 + 1/4?,fraction_percent,easy,1,1.0,1.0,True,True,2740.9,
f06,What is 10% of 350?,fraction_percent,easy,35,Answer: 35,35.0,True,True,2810.7,
f07,A shirt costs $80. It goes on sale for 30% off. How much is the discount in dollars?,fraction_percent,medium,24,Answer: 24,24.0,True,True,2931.3,
f08,What is 15% of 200?,fraction_percent,easy,30,Answer: 30,30.0,True,True,2790.6,
f09,"If 40% of a number is 20, what is the number?",fraction_percent,hard,50,Answer: 50,50.0,True,True,2864.7,
al01,"If x + 7 = 15, what is x?",algebra,medium,8,x = 15 - 7,7.0,True,False,2871.2,
al02,"If 3x = 24, what is x?",algebra,easy,8,Answer: 8,8.0,True,True,2767.2,
al03,"If 2x - 5 = 9, what is x?",algebra,medium,7,x = 7,7.0,True,True,2771.4,
al04,"If x / 4 = 6, what is x?",algebra,easy,24,Answer: 24,24.0,True,True,2763.5,
al05,"If x + 2x = 18, what is x?",algebra,medium,6,Answer: 6,6.0,True,True,2778.9,
al06,"If 5x + 3 = 28, what is x?",algebra,medium,5,Answer: 5,5.0,True,True,2770.0,
al07,"If 2(x + 3) = 14, what is x?",algebra,hard,4,"First, divide both sides by 2: 
\( x + 3 = 7 \)
Then, subtract 3 from both sides:
\( x = 4 \)

Answer: 4",4.0,True,True,3701.0,
al08,"If x^2 = 81, what is the positive value of x?",algebra,medium,9,9,9.0,True,True,2738.7,
