id,question,category,difficulty,expected_answer,model_output,extracted_answer,answer_parsed,answer_correct,latency_ms,error
a01,What is 17 + 29?,arithmetic,easy,46,"Answer: 46

46",46.0,True,True,4403.2,
a02,What is 148 - 63?,arithmetic,easy,85,"Answer: 85

85",85.0,True,True,2743.7,
a03,What is 12 * 15?,arithmetic,easy,180,12 * 15 = 180,180.0,True,True,2725.4,
a04,What is 156 / 4?,arithmetic,easy,39,156 / 4 = 39.0,39.0,True,True,2765.6,
a05,What is 25 + 33 - 17?,arithmetic,easy,41,"Step 1: Add 25 and 33.
25 + 33 = 58

Step 2: Subtract 17 from the result.
58 - 17 = 41

Answer: 41",41.0,True,True,3248.9,
a06,What is 7 * 8 + 4?,arithmetic,easy,60,"To solve the expression \( 7 \times 8 + 4 \), follow these steps:

1. First, perform the multiplication:
   \[
   7 \times 8 = 56
   \]

2. Then, add 4 to the result:
   \[
   56 + 4 = 60
   \]

So, the answer is \( 60 \).",56.0,True,False,3662.9,
a07,What is 3^4?,arithmetic,easy,81,"To find \( 3^4 \), we can calculate it directly:

\[ 3^4 = 3 \times 3 \times 3 \times 3 \]

First, calculate \( 3 \times 3 \):

\[ 3 \times 3 = 9 \]

Next, multiply the result by 3:

\[ 9 \times 3 = 27 \]

So, \( 3^4 = 27 \).

Answer: 27",27.0,True,False,3779.0,
a08,What is 1024 - 256?,arithmetic,easy,768,"Answer: 768

768",768.0,True,True,2700.3,
w01,A train travels at 60 miles per hour for 2.5 hours. How far does it travel in miles?,word_problem,medium,150,"To find out how far the train travels, you can use the formula:

\[ \text{Distance} = \text{Speed} \times \text{Time} \]

Given:
- Speed = 60 miles per hour
- Time = 2.5 hours

So, the distance is:

\[ \text{Distance} = 60 \times 2.5 = 150 \text{ miles} \]

Answer: 150",150.0,True,True,3845.9,
w02,"If one dozen eggs costs $3, how much do 4 dozen eggs cost in dollars?",word_problem,easy,12,"To find the cost of 4 dozen eggs, we start by determining the cost of one dozen eggs. Since one dozen eggs costs $3, we can find the cost of one dozen eggs by dividing $3 by 12:

\[
\text{Cost of one dozen eggs} = \frac{3}{12} = \frac{1}{4} \text{ dollars}
\]

Next, we calculate the cost of 4 dozen eggs by multiplying the cost of one dozen eggs by 4:

\[
\text{Cost of 4 dozen eggs} = 4 \times \frac{1}{4} = 1 \text{ dollar}
\]

Thus, the cost of 4 dozen eggs is \(\boxed{1}\) dollar.",1.0,True,False,4590.8,
