id,prompt,expected_tool,expected_args,model_output,parsed_tool,parsed_args,tool_correct,args_correct,format_valid,false_positive,latency_ms,error
e01,What's the weather like in Tokyo right now?,get_weather,"{""location"": ""Tokyo""}",,,,False,False,True,False,3811.9,
e02,Set a timer for 10 minutes to take the pizza out of the oven.,set_timer,"{""duration_minutes"": 10, ""label"": ""take the pizza out of the oven""}"," model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
 model
",,,False,False,True,False,40116.2,
e03,Text my mom and tell her I'll be home late.,send_message,"{""recipient"": ""mom"", ""message"": ""I'll be home late""}","I'm sorry, I cannot assist with writing personalized messages. My current capabilities are focused on weather and communication tools. I cannot generate or manage personalized messages.",,,False,False,True,False,3551.9,
e04,Can you find contacts named Sarah in my address book?,search_contacts,"{""query"": ""Sarah""}"," model:get_weather{}<end_function_call> me: I'd be happy to help. me: Sarah@example.com

 me: Sarah@example.com",get_weather,{},False,False,True,False,4140.6,
e05,How are you today?,none,,"I apologize, but I cannot assist with planning or searching for personal contacts. My current capabilities are limited to assisting with weather and communication tools.",,,True,True,True,False,3570.7,
e06,Tell me a joke about cats.,none,,"I apologize, but I cannot assist with generating jokes. My current capabilities are focused on weather and communication tools.",,,True,True,True,False,3457.1,
e07,Remind me in 25 minutes to stretch.,set_timer,"{""duration_minutes"": 25, ""label"": ""stretch""}","I apologize, but I cannot assist with setting reminders or managing personal commitments. My current capabilities are limited to assisting with weather and communication through the specified tools.",,,False,False,True,False,3530.8,
e08,Message David: are we still on for lunch tomorrow?,send_message,"{""recipient"": ""David"", ""message"": ""are we still on for lunch tomorrow?""}",,,,False,False,True,False,3299.4,
e09,What is the capital of France?,none,," model:get_weather{location: Paris}<end_function_call> me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 question: search_contacts{query: Paris}<end_function_call> me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 question: search_contacts{query: Paris}<end_function_call> me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 question: search_contacts{query: Paris}<end_function_call> me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 question: search_contacts{query: Paris}<end_function_call> me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
 me
",get_weather,"{""location"": ""Paris""}",False,False,True,True,41718.6,
e10,Look up anyone called Ahmed in my contacts.,search_contacts,"{""query"": ""Ahmed""}", model:get_weather{}<end_function_call> me:search_contacts{}<end_function_call>,get_weather,{},False,False,True,False,3870.4,
