trial,id,prompt,category,difficulty,expected_tool,expected_args,model_output,parsed_tool,parsed_args,tool_correct,args_correct,format_valid,false_positive,latency_ms,error
1,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Lagos""}}",get_weather,"{""location"": ""Lagos""}",True,True,True,False,4309.6,
2,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Lagos""}}",get_weather,"{""location"": ""Lagos""}",True,True,True,False,6812.7,
3,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Lagos""}}",get_weather,"{""location"": ""Lagos""}",True,True,True,False,8290.6,
4,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Lagos""}}",get_weather,"{""location"": ""Lagos""}",True,True,True,False,7104.7,
5,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Lagos""}}",get_weather,"{""location"": ""Lagos""}",True,True,True,False,7124.2,
6,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Lagos""}}",get_weather,"{""location"": ""Lagos""}",True,True,True,False,7076.2,
7,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Lagos""}}",get_weather,"{""location"": ""Lagos""}",True,True,True,False,7838.3,
8,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Lagos""}}",get_weather,"{""location"": ""Lagos""}",True,True,True,False,7301.4,
1,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Oslo""}}",get_weather,"{""location"": ""Oslo""}",True,True,True,False,7427.3,
2,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Ols""))",,,False,False,True,False,8197.8,
3,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Oslo""}}",get_weather,"{""location"": ""Oslo""}",True,True,True,False,7876.1,
4,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}","{""name"": ""get_weather"", ""arguments"": {""location"": ""Oslo""}}",get_weather,"{""location"": ""Oslo""}",True,True,True,False,8239.3,
