trial,id,prompt,category,difficulty,expected_tool,expected_args,model_output,parsed_tool,parsed_args,tool_correct,args_correct,format_valid,false_positive,latency_ms,error
1,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}",,get_weather,"{""location"": ""Lagos""}",True,True,True,False,7761.3,
2,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}",,get_weather,"{""location"": ""Lagos""}",True,True,True,False,3208.9,
3,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}",,get_weather,"{""location"": ""Lagos""}",True,True,True,False,3193.3,
4,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}",,get_weather,"{""location"": ""Lagos""}",True,True,True,False,3133.8,
5,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}",,get_weather,"{""location"": ""Lagos""}",True,True,True,False,3156.9,
6,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}",,get_weather,"{""location"": ""Lagos""}",True,True,True,False,3102.2,
7,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}",,get_weather,"{""location"": ""Lagos""}",True,True,True,False,3131.2,
8,n001,weather in Lagos please,should_call,easy,get_weather,"{""location"": ""Lagos""}",,get_weather,"{""location"": ""Lagos""}",True,True,True,False,3087.2,
1,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}",,get_weather,"{""location"": ""Oslo""}",True,True,True,False,3135.7,
2,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}",,get_weather,"{""location"": ""Oslo""}",True,True,True,False,3115.7,
3,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}",,get_weather,"{""location"": ""Oslo""}",True,True,True,False,3129.2,
4,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}",,get_weather,"{""location"": ""Oslo""}",True,True,True,False,3095.1,
5,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}",,get_weather,"{""location"": ""Oslo""}",True,True,True,False,3037.7,
6,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}",,get_weather,"{""location"": ""Oslo""}",True,True,True,False,3003.2,
7,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}",,get_weather,"{""location"": ""Oslo""}",True,True,True,False,2966.8,
8,n002,give me the current weather for Oslo,should_call,easy,get_weather,"{""location"": ""Oslo""}",,get_weather,"{""location"": ""Oslo""}",True,True,True,False,3126.4,
1,n003,how's the weather in Cape Town,should_call,easy,get_weather,"{""location"": ""Cape Town""}",,get_weather,"{""location"": ""Cape Town""}",True,True,True,False,3368.2,
2,n003,how's the weather in Cape Town,should_call,easy,get_weather,"{""location"": ""Cape Town""}",,get_weather,"{""location"": ""Cape Town""}",True,True,True,False,3092.0,
3,n003,how's the weather in Cape Town,should_call,easy,get_weather,"{""location"": ""Cape Town""}",,get_weather,"{""location"": ""Cape Town""}",True,True,True,False,3037.9,
4,n003,how's the weather in Cape Town,should_call,easy,get_weather,"{""location"": ""Cape Town""}",,get_weather,"{""location"": ""Cape Town""}",True,True,True,False,3029.7,
5,n003,how's the weather in Cape Town,should_call,easy,get_weather,"{""location"": ""Cape Town""}",,get_weather,"{""location"": ""Cape Town""}",True,True,True,False,3057.8,
6,n003,how's the weather in Cape Town,should_call,easy,get_weather,"{""location"": ""Cape Town""}",,get_weather,"{""location"": ""Cape Town""}",True,True,True,False,3020.9,
7,n003,how's the weather in Cape Town,should_call,easy,get_weather,"{""location"": ""Cape Town""}",,get_weather,"{""location"": ""Cape Town""}",True,True,True,False,2959.4,
8,n003,how's the weather in Cape Town,should_call,easy,get_weather,"{""location"": ""Cape Town""}",,get_weather,"{""location"": ""Cape Town""}",True,True,True,False,3276.9,
1,n004,check the weather in Toronto for me,should_call,easy,get_weather,"{""location"": ""Toronto""}",,get_weather,"{""location"": ""Toronto""}",True,True,True,False,3022.0,
2,n004,check the weather in Toronto for me,should_call,easy,get_weather,"{""location"": ""Toronto""}",,get_weather,"{""location"": ""Toronto""}",True,True,True,False,3159.6,
3,n004,check the weather in Toronto for me,should_call,easy,get_weather,"{""location"": ""Toronto""}",,get_weather,"{""location"": ""Toronto""}",True,True,True,False,3068.8,
4,n004,check the weather in Toronto for me,should_call,easy,get_weather,"{""location"": ""Toronto""}",,get_weather,"{""location"": ""Toronto""}",True,True,True,False,3117.1,
5,n004,check the weather in Toronto for me,should_call,easy,get_weather,"{""location"": ""Toronto""}",,get_weather,"{""location"": ""Toronto""}",True,True,True,False,3092.9,
6,n004,check the weather in Toronto for me,should_call,easy,get_weather,"{""location"": ""Toronto""}",,get_weather,"{""location"": ""Toronto""}",True,True,True,False,3049.8,
7,n004,check the weather in Toronto for me,should_call,easy,get_weather,"{""location"": ""Toronto""}",,get_weather,"{""location"": ""Toronto""}",True,True,True,False,3190.0,
8,n004,check the weather in Toronto for me,should_call,easy,get_weather,"{""location"": ""Toronto""}",,get_weather,"{""location"": ""Toronto""}",True,True,True,False,3068.8,
1,n005,what's it like outside in Denver,should_call,easy,get_weather,"{""location"": ""Denver""}",,get_weather,"{""location"": ""Denver""}",True,True,True,False,3187.1,
2,n005,what's it like outside in Denver,should_call,easy,get_weather,"{""location"": ""Denver""}",,get_weather,"{""location"": ""Denver""}",True,True,True,False,3092.1,
3,n005,what's it like outside in Denver,should_call,easy,get_weather,"{""location"": ""Denver""}",,get_weather,"{""location"": ""Denver""}",True,True,True,False,3025.2,
4,n005,what's it like outside in Denver,should_call,easy,get_weather,"{""location"": ""Denver""}",,get_weather,"{""location"": ""Denver""}",True,True,True,False,3043.9,
5,n005,what's it like outside in Denver,should_call,easy,get_weather,"{""location"": ""Denver""}",,get_weather,"{""location"": ""Denver""}",True,True,True,False,2974.5,
6,n005,what's it like outside in Denver,should_call,easy,get_weather,"{""location"": ""Denver""}",,get_weather,"{""location"": ""Denver""}",True,True,True,False,3008.8,
7,n005,what's it like outside in Denver,should_call,easy,get_weather,"{""location"": ""Denver""}",,get_weather,"{""location"": ""Denver""}",True,True,True,False,2995.7,
8,n005,what's it like outside in Denver,should_call,easy,get_weather,"{""location"": ""Denver""}",,get_weather,"{""location"": ""Denver""}",True,True,True,False,3032.0,
1,n006,I need the weather report for Dublin,should_call,easy,get_weather,"{""location"": ""Dublin""}",,get_weather,"{""location"": ""Dublin""}",True,True,True,False,3009.8,
2,n006,I need the weather report for Dublin,should_call,easy,get_weather,"{""location"": ""Dublin""}",,get_weather,"{""location"": ""Dublin""}",True,True,True,False,3045.2,
3,n006,I need the weather report for Dublin,should_call,easy,get_weather,"{""location"": ""Dublin""}",,get_weather,"{""location"": ""Dublin""}",True,True,True,False,3018.2,
4,n006,I need the weather report for Dublin,should_call,easy,get_weather,"{""location"": ""Dublin""}",,get_weather,"{""location"": ""Dublin""}",True,True,True,False,3043.3,
5,n006,I need the weather report for Dublin,should_call,easy,get_weather,"{""location"": ""Dublin""}",,get_weather,"{""location"": ""Dublin""}",True,True,True,False,3116.3,
6,n006,I need the weather report for Dublin,should_call,easy,get_weather,"{""location"": ""Dublin""}",,get_weather,"{""location"": ""Dublin""}",True,True,True,False,3025.2,
7,n006,I need the weather report for Dublin,should_call,easy,get_weather,"{""location"": ""Dublin""}",,get_weather,"{""location"": ""Dublin""}",True,True,True,False,3054.8,
8,n006,I need the weather report for Dublin,should_call,easy,get_weather,"{""location"": ""Dublin""}",,get_weather,"{""location"": ""Dublin""}",True,True,True,False,3125.8,
1,n007,tell me the weather in Seoul,should_call,easy,get_weather,"{""location"": ""Seoul""}",,get_weather,"{""location"": ""Seoul""}",True,True,True,False,3067.0,
2,n007,tell me the weather in Seoul,should_call,easy,get_weather,"{""location"": ""Seoul""}",,get_weather,"{""location"": ""Seoul""}",True,True,True,False,3076.3,
3,n007,tell me the weather in Seoul,should_call,easy,get_weather,"{""location"": ""Seoul""}",,get_weather,"{""location"": ""Seoul""}",True,True,True,False,3013.7,
4,n007,tell me the weather in Seoul,should_call,easy,get_weather,"{""location"": ""Seoul""}",,get_weather,"{""location"": ""Seoul""}",True,True,True,False,3025.9,
5,n007,tell me the weather in Seoul,should_call,easy,get_weather,"{""location"": ""Seoul""}",,get_weather,"{""location"": ""Seoul""}",True,True,True,False,3071.4,
6,n007,tell me the weather in Seoul,should_call,easy,get_weather,"{""location"": ""Seoul""}",,get_weather,"{""location"": ""Seoul""}",True,True,True,False,3035.9,
7,n007,tell me the weather in Seoul,should_call,easy,get_weather,"{""location"": ""Seoul""}",,get_weather,"{""location"": ""Seoul""}",True,True,True,False,3030.1,
8,n007,tell me the weather in Seoul,should_call,easy,get_weather,"{""location"": ""Seoul""}",,get_weather,"{""location"": ""Seoul""}",True,True,True,False,3064.7,
1,n008,weather check for Manila,should_call,easy,get_weather,"{""location"": ""Manila""}",,get_weather,"{""location"": ""Manila""}",True,True,True,False,2954.3,
2,n008,weather check for Manila,should_call,easy,get_weather,"{""location"": ""Manila""}",,get_weather,"{""location"": ""Manila""}",True,True,True,False,3037.3,
3,n008,weather check for Manila,should_call,easy,get_weather,"{""location"": ""Manila""}",,get_weather,"{""location"": ""Manila""}",True,True,True,False,3000.6,
4,n008,weather check for Manila,should_call,easy,get_weather,"{""location"": ""Manila""}",,get_weather,"{""location"": ""Manila""}",True,True,True,False,3007.7,
5,n008,weather check for Manila,should_call,easy,get_weather,"{""location"": ""Manila""}",,get_weather,"{""location"": ""Manila""}",True,True,True,False,3044.4,
6,n008,weather check for Manila,should_call,easy,get_weather,"{""location"": ""Manila""}",,get_weather,"{""location"": ""Manila""}",True,True,True,False,3022.4,
7,n008,weather check for Manila,should_call,easy,get_weather,"{""location"": ""Manila""}",,get_weather,"{""location"": ""Manila""}",True,True,True,False,3034.1,
8,n008,weather check for Manila,should_call,easy,get_weather,"{""location"": ""Manila""}",,get_weather,"{""location"": ""Manila""}",True,True,True,False,3049.1,
1,n009,current weather in Vienna?,should_call,easy,get_weather,"{""location"": ""Vienna""}",,get_weather,"{""location"": ""Vienna""}",True,True,True,False,3040.8,
2,n009,current weather in Vienna?,should_call,easy,get_weather,"{""location"": ""Vienna""}",,get_weather,"{""location"": ""Vienna""}",True,True,True,False,3091.5,
3,n009,current weather in Vienna?,should_call,easy,get_weather,"{""location"": ""Vienna""}",,get_weather,"{""location"": ""Vienna""}",True,True,True,False,3050.2,
4,n009,current weather in Vienna?,should_call,easy,get_weather,"{""location"": ""Vienna""}",,get_weather,"{""location"": ""Vienna""}",True,True,True,False,3064.7,
5,n009,current weather in Vienna?,should_call,easy,get_weather,"{""location"": ""Vienna""}",,get_weather,"{""location"": ""Vienna""}",True,True,True,False,3007.6,
