id,prompt,expected_tool,expected_args,model_output,parsed_tool,parsed_args,tool_correct,args_correct,format_valid,false_positive,latency_ms,error
e01,What's the weather like in Tokyo right now?,get_weather,"{""location"": ""Tokyo""}","```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""Tokyo""}}
```",get_weather,"{""location"": ""Tokyo""}",True,True,True,False,4920.8,
e02,Set a timer for 10 minutes to take the pizza out of the oven.,set_timer,"{""duration_minutes"": 10, ""label"": ""take the pizza out of the oven""}","{""name"": ""get_timer"", ""arguments"": { ""duration"": ""10 minutes"" }}",get_timer,"{""duration"": ""10 minutes""}",False,False,True,False,4913.1,
e03,Text my mom and tell her I'll be home late.,send_message,"{""recipient"": ""mom"", ""message"": ""I'll be home late""}","```json
{""name"": ""send_message"", ""arguments"": {""to"": ""Mom"", ""message"": ""I'll be home late.""}}
```",send_message,"{""to"": ""Mom"", ""message"": ""I'll be home late.""}",True,False,True,False,5163.4,
e04,Can you find contacts named Sarah in my address book?,search_contacts,"{""query"": ""Sarah""}","```json
{""name"": ""search_contacts"", ""arguments"": {""contact_type"": ""Sarah""}}
```",search_contacts,"{""contact_type"": ""Sarah""}",True,False,True,False,4845.6,
e05,How are you today?,none,,"```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""London""} }
```",get_weather,"{""location"": ""London""}",False,False,True,True,4821.7,
e06,Tell me a joke about cats.,none,,"```json
{""name"": ""Why did the cat sit on the computer? Because it wanted to keep an eye on the mouse!""}
```",,,True,True,True,False,5061.1,
e07,Remind me in 25 minutes to stretch.,set_timer,"{""duration_minutes"": 25, ""label"": ""stretch""}","```json
{""name"": ""set_timer"", ""arguments"": {""time"": ""25 minutes""}}
```",set_timer,"{""time"": ""25 minutes""}",True,False,True,False,5101.4,
e08,Message David: are we still on for lunch tomorrow?,send_message,"{""recipient"": ""David"", ""message"": ""are we still on for lunch tomorrow?""}","```json
{""name"": ""send_message"", ""arguments"": { ""to"": ""David"", ""message"": ""Are we still on for lunch tomorrow?""}}
```",send_message,"{""to"": ""David"", ""message"": ""Are we still on for lunch tomorrow?""}",True,False,True,False,5369.9,
e09,What is the capital of France?,none,,"```json
{""name"": ""get_weather"", ""arguments"": {""location"": ""Paris""}}
```",get_weather,"{""location"": ""Paris""}",False,False,True,True,4930.0,
e10,Look up anyone called Ahmed in my contacts.,search_contacts,"{""query"": ""Ahmed""}","```json
{""name"": ""Ahmed"", ""arguments"": { ""contacts"": [""Ahmed""]} }
```",Ahmed,"{""contacts"": [""Ahmed""]}",False,False,True,False,4905.1,
