id,question,category,difficulty,expected_answer,model_output,extracted_answer,answer_parsed,answer_correct,latency_ms,error
a01,What is 17 + 29?,arithmetic,easy,46,"17 + 29 = 46

Answer: 46
",46.0,True,True,6962.5,
a02,What is 148 - 63?,arithmetic,easy,85,"148 - 63 = 85

Answer: 85
",85.0,True,True,4534.8,
a03,What is 12 * 15?,arithmetic,easy,180,"12 * 15 = 180
",180.0,True,True,4307.0,
a04,What is 156 / 4?,arithmetic,easy,39,"156 / 4 = 39
Answer: 39
",39.0,True,True,6296.7,
a05,What is 25 + 33 - 17?,arithmetic,easy,41,"1. **Add:** 25 + 33 = 58
2. **Subtract:** 58 - 17 = 41

Answer: 41
",41.0,True,True,5361.9,
a06,What is 7 * 8 + 4?,arithmetic,easy,60,"1. **Calculate the multiplication:** 7 * 8 = 56
2. **Add the result to the original number:** 56 + 4 = 60
Answer: 60",60.0,True,True,5569.5,
a07,What is 3^4?,arithmetic,easy,81,"Let's calculate 3^4:

3^4 = 3 * 3 * 3 * 3 = 9 * 3 * 3 = 27 * 3 = 81

Answer: 81",81.0,True,True,5685.4,
a08,What is 1024 - 256?,arithmetic,easy,768,"1024 - 256 = 768

Answer: 768",768.0,True,True,5023.1,
w01,A train travels at 60 miles per hour for 2.5 hours. How far does it travel in miles?,word_problem,medium,150,"Here's how to solve the problem step-by-step:

1. **Calculate the distance:** Distance = Speed x Time
   Distance = 60 miles/hour * 2.5 hours
   Distance = 150 miles

Answer: 150",150.0,True,True,5564.6,
w02,"If one dozen eggs costs $3, how much do 4 dozen eggs cost in dollars?",word_problem,easy,12,"Let the cost of one dozen eggs be $C$. We are given that one dozen eggs costs $3, so $C = 3$.
We want to find the cost of 4 dozen eggs.
Since one dozen eggs costs $3, the cost of 4 dozen eggs is $4 \times C = 4 \times 3 = 12$.
Therefore, 4 dozen eggs cost $12.

Answer: 12.",12.0,True,True,7034.9,
w03,A rectangle is 12 meters long and 8 meters wide. What is its perimeter in meters?,word_problem,medium,40,"Here's how to calculate the perimeter of the rectangle:

*   **Perimeter of a rectangle = 2 * (length + width)**
*   Perimeter = 2 * (12 + 8)
*   Perimeter = 2 * 20
*   Perimeter = 40

Answer: 40",40.0,True,True,5877.6,
w04,"A pizza is cut into 8 slices. If 5 slices are eaten, how many slices are left?",word_problem,easy,3,"Let the total number of slices be $T = 8$.
Let the number of slices eaten be $E = 5$.
The number of slices left is $L = T - E = 8 - 5 = 3$.

Answer: 3
",3.0,True,True,5566.9,
w05,John has 15 apples. He gives 4 to Mary and eats 3. How many apples does he have left?,word_problem,medium,8,"Let's break this down step by step:

1. **Start with the initial number of apples:** John begins with 15 apples.
2. **John gives apples to Mary:** He gives away 4 apples, so he has 15 - 4 = 11 apples.
3. **John eats apples:** He eats 3 apples, so he has 11 - 3 = 8 apples.

Answer: 8",8.0,True,True,6792.1,
