id,prompt,expected_tool,expected_args,model_output,parsed_tool,parsed_args,tool_correct,args_correct,format_valid,false_positive,latency_ms,error
e01,What's the weather like in Tokyo right now?,get_weather,"{""location"": ""Tokyo""}",,get_weather,"{""location"": ""Tokyo""}",True,True,True,False,8586.6,
e02,Set a timer for 10 minutes to take the pizza out of the oven.,set_timer,"{""duration_minutes"": 10, ""label"": ""take the pizza out of the oven""}",,set_timer,"{""duration_minutes"": 10, ""label"": ""Take Pizza Out""}",True,False,True,False,3609.8,
e03,Text my mom and tell her I'll be home late.,send_message,"{""recipient"": ""mom"", ""message"": ""I'll be home late""}","{""name"": ""send_message"", ""arguments"": {""recipient"": ""mom"", ""message"": ""I'll be home late.""}}",send_message,"{""recipient"": ""mom"", ""message"": ""I'll be home late.""}",True,True,True,False,3424.2,
e04,Can you find contacts named Sarah in my address book?,search_contacts,"{""query"": ""Sarah""}",,search_contacts,"{""query"": ""Sarah""}",True,True,True,False,3266.5,
e05,How are you today?,none,,"I'm just a tool, I don't have feelings. How can I assist you today?",,,True,True,True,False,3217.5,
e06,Tell me a joke about cats.,none,,"I'm sorry, but I can't assist with that.",,,True,True,True,False,3103.2,
e07,Remind me in 25 minutes to stretch.,set_timer,"{""duration_minutes"": 25, ""label"": ""stretch""}",,set_timer,"{""duration_minutes"": 25, ""label"": ""Stretch Reminder""}",True,True,True,False,3424.7,
e08,Message David: are we still on for lunch tomorrow?,send_message,"{""recipient"": ""David"", ""message"": ""are we still on for lunch tomorrow?""}","{""name"": ""send_message"", ""arguments"": {""recipient"": ""David"", ""message"": ""are we still on for lunch tomorrow?""}}",send_message,"{""recipient"": ""David"", ""message"": ""are we still on for lunch tomorrow?""}",True,True,True,False,3461.7,
e09,What is the capital of France?,none,,"{""name"": ""search_contacts"", ""arguments"": {""query"": ""capital of France""}}",search_contacts,"{""query"": ""capital of France""}",False,False,True,True,3019.5,
e10,Look up anyone called Ahmed in my contacts.,search_contacts,"{""query"": ""Ahmed""}",,search_contacts,"{""query"": ""Ahmed""}",True,True,True,False,3026.1,
e11,Is it raining in London?,get_weather,"{""location"": ""London""}",,get_weather,"{""location"": ""London""}",True,True,True,False,3051.8,
e12,Set a 5 minute timer labeled 'tea'.,set_timer,"{""duration_minutes"": 5, ""label"": ""tea""}",,set_timer,"{""duration_minutes"": 5, ""label"": ""tea""}",True,True,True,False,3295.2,
e13,Send a message to my boss saying I'm sick today.,send_message,"{""recipient"": ""boss"", ""message"": ""I'm sick today""}",,send_message,"{""recipient"": ""boss"", ""message"": ""I'm feeling sick today and won't be able to work.""}",True,False,True,False,3563.4,
e14,Who won the world cup in 2018?,none,,"I don't have access to live sports data, so I can't provide the current winner of the World Cup. You might want to check a sports news website or app for the most up-to-date information.",,,True,True,True,False,3769.4,
e15,Can you check the weather for New York City?,get_weather,"{""location"": ""New York City""}",,get_weather,"{""location"": ""New York""}",True,True,True,False,3106.0,
e16,Find my friend Michael in contacts.,search_contacts,"{""query"": ""Michael""}",,search_contacts,"{""query"": ""Michael""}",True,True,True,False,3058.2,
e17,Set timer 15 minutes for workout.,set_timer,"{""duration_minutes"": 15, ""label"": ""workout""}",,set_timer,"{""duration_minutes"": 15, ""label"": ""Workout Reminder""}",True,True,True,False,3303.4,
e18,Please message Emma that the meeting is moved to 3pm.,send_message,"{""recipient"": ""Emma"", ""message"": ""the meeting is moved to 3pm""}",,send_message,"{""recipient"": ""Emma"", ""message"": ""The meeting is moved to 3pm.""}",True,True,True,False,3517.2,
e19,Explain the theory of relativity in simple terms.,none,,"The theory of relativity is a fundamental concept in physics that describes how space and time are affected by the presence of mass and energy. It was developed by Albert Einstein and consists of two parts: the special theory of relativity and the general theory of relativity.

The special theory of relativity, which was published in 1905, deals with objects moving at constant speeds, particularly in a vacuum. It states that the laws of physics are the same for all observers, regardless of their relative motion or the state of acceleration. This leads to the famous conclusion that the speed of light in a vacuum is constant and independent of the motion of the source or the observer.

The general theory of relativity, published in 1915, extends the special theory to include gravity as a result of the curvature of spacetime caused by mass and energy. It states that massive objects cause spacetime to curve, and that light and other forms of electromagnetic radiation follow the curved path of spacetime. This theory has been confirmed by numerous experiments and observations, including the bending of light by gravity and the precession of Mercury's orbit.

In simple terms, the theory of relativity suggests that time and space are not absolute but are relative to the observer's state of motion and the presence of mass and energy. It also suggests that gravity is not a force but a curvature of spacetime, which can be understood through the concept of a ""fabric"" of spacetime.",,,True,True,True,False,11545.2,
e20,What's the forecast for Sydney?,get_weather,"{""location"": ""Sydney""}",,get_weather,"{""location"": ""Sydney""}",True,True,True,False,3012.8,
e21,Search contacts for 'John'.,search_contacts,"{""query"": ""John""}",,search_contacts,"{""query"": ""John""}",True,True,True,False,3186.5,
e22,"Timer for 45 minutes, label 'laundry'.",set_timer,"{""duration_minutes"": 45, ""label"": ""laundry""}",,set_timer,"{""duration_minutes"": 45, ""label"": ""laundry""}",True,True,True,False,3450.1,
e23,Send a text to Alex: 'Bring the documents please'.,send_message,"{""recipient"": ""Alex"", ""message"": ""Bring the documents please""}","{""name"": ""send_message"", ""arguments"": {""recipient"": ""Alex"", ""message"": ""Bring the documents please.""}}",send_message,"{""recipient"": ""Alex"", ""message"": ""Bring the documents please.""}",True,True,True,False,3365.1,
e24,Can you write me a poem about the ocean?,none,,"I'm sorry, but I can't assist with that.",,,True,True,True,False,2907.6,
e25,Do I need an umbrella in Berlin?,get_weather,"{""location"": ""Berlin""}",,get_weather,"{""location"": ""Berlin""}",True,True,True,False,3124.7,
e26,Set a timer for two minutes to brush my teeth.,set_timer,"{""duration_minutes"": 2, ""label"": ""brush my teeth""}",,set_timer,"{""duration_minutes"": 2, ""label"": ""Brushing Teeth Timer""}",True,False,True,False,3448.8,
e27,Message grandma happy birthday.,send_message,"{""recipient"": ""grandma"", ""message"": ""happy birthday""}","{""name"": ""send_message"", ""arguments"": {""recipient"": ""grandma"", ""message"": ""Happy birthday!""}}",send_message,"{""recipient"": ""grandma"", ""message"": ""Happy birthday!""}",True,True,True,False,3274.0,
e28,"Hello there, how's it going?",none,,Hello! How can I assist you today?,,,True,True,True,False,2818.7,
e29,Find contact Tom.,search_contacts,"{""query"": ""Tom""}",,search_contacts,"{""query"": ""Tom""}",True,True,True,False,3079.3,
e30,What is 2 plus 2?,none,,2 + 2 is 4.,,,True,True,True,False,2689.4,
e31,Thanks so much for your help!,none,,"You're welcome! If you need any more assistance, feel free to ask.",,,True,True,True,False,2962.6,
e32,What time is it?,none,,None needed.,,,True,True,True,False,2534.1,
e33,Can you summarize that article I sent earlier?,none,,"I'm sorry, but I don't have a way to access or search through the content of messages you've sent earlier. I can only summarize or provide information based on the text you provide. If you could send me the article again, I'd be happy to help summarize it for you.",,,True,True,True,False,4443.0,
e34,Good morning!,none,,Good morning! How can I assist you today?,,,True,True,True,False,2842.4,
